
---------------------------------第1页------------------------------

------------------------------该页有21条微博-----------------------------
{'nickname': '筱笛小队长', 'txt': '\n                    爱情总有磕磕碰碰！那我们怎么去做呢？让塔罗为你指引正确的方向吧！#恋爱# #情侣# \u200b\u200b\u200b\u200b#疫情1周或10天左右达到高峰##感动瞬间# \u200b                ', 'date': '\n01月28日23:00\n', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'kafei98625', 'txt': '\n                    //@谷子姐姐:一起加油！一定能成功战胜疫情！加油！@秦俊杰 [米奇比心]                ', 'date': '01月27日13:24', 'device': '绿洲APP', 'favorate_count': 0, 'forward_count': '61408', 'comment_count': '31181', 'like_count': '70006'}
{'nickname': '秋天乙', 'txt': '\n#你们村为了防控疫情有多拼#已经封小区了 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'HUAWEI Mate 20 Pro', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '网红正义八卦', 'txt': '\n                    很喜欢朱一龙的笑容加油你最棒了心系武汉，唯愿平安，致敬所有坚守在一线的医护人员，大家保护好自己，坚定信心，同舟共济！一起抗击疫情，我们和武汉同在！#朱一龙用武汉话为家乡加油# 捐助武汉市慈善总会100万元人民币，#朱一龙捐款100万元支援武汉# 作为武汉人的@朱一龙 用家乡话录制视频为 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '网红正义八卦超话', 'favorate_count': 0, 'forward_count': '4', 'comment_count': 0, 'like_count': '24'}
{'nickname': '体贴的笑CC', 'txt': '\n                    突然发现道路两旁悬挂的中国结还是很有过年的感觉的只怪病毒来地太突然，还没等我们认真观赏就已投入到疫情当中 女儿：妈妈你怎么这么久才来看我？我：因为妈妈和我的同事在跟病毒做斗争呀！女儿：那妈妈你们用刀了吗我：没有用刀，我们用针 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '荣耀Magic2 魔法手机', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '3', 'like_count': '7'}
{'nickname': '想滚键盘滚出一个ID', 'txt': '\n#万众一心打赢疫情防控阻击战# #李宇春# @李宇春 一起加油。//@李宇春疯狂工作室:\ue627李宇春 向所有医护工作者致敬！为所有善良勇敢的人们加油！ ', 'date': '01月28日21:10', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '10200', 'comment_count': '2370', 'like_count': '18419'}
{'nickname': '汤圆好妈咪', 'txt': '\n                    转发微博                ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '莱芜联通', 'txt': '\n                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '魅族 PRO 6 Plus', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '莱芜联通', 'txt': '\n                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '魅族 PRO 6 Plus', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '莱芜联通', 'txt': '\n                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '魅族 PRO 6 Plus', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '莱芜联通', 'txt': '\n                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '魅族 PRO 6 Plus', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}

---------------------------------第2页------------------------------

------------------------------该页有22条微博-----------------------------
{'nickname': '圣所的Xiatic', 'txt': '\n                    转发微博                ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '来一份的海豚姑娘', 'txt': '\n                    19//@来一份的海豚姑娘:1.28群任务 #电视剧我在北京等你##电视剧隐秘而伟大# #号手就位李易峰# @李易峰 lyf//@李易峰全国投票团:总群1月28号群任务//@李易峰全国投票团:听哥哥@李易峰 的话，出门一定要好戴口罩，注意防范[米奇比心][米奇比心]\ue627李易峰//@李易峰:#防控疫情我们在一起#听话 戴口罩                ', 'date': '01月22日17:20', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '501154', 'comment_count': '8617', 'like_count': '177649'}
{'nickname': '安顺热门', 'txt': '\n#镇宁疫情防控进行时# 为全力做好新型冠状病毒感染的肺炎疫情防控工作，有效切断病毒传播途径，镇宁县公安局交警大队全体民警、辅警取消休假，坚守在一线岗位，全面落实联防联控责任，积极开展交通管控，严格盘查外省车辆，坚决对抗新型冠状病毒疫情，平安度过这个新春佳节。  \u200b                ', 'date': '\n01月28日22:59\n', 'device': '荣耀20 PRO', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '6'}
{'nickname': '看今天微博', 'txt': '\n#防控新冠肺炎 陕西在行动# 1月28日，从西安市新型冠状病毒感染的肺炎疫情联防联控工作新闻发布会上了解到，#看今天微博# 1月29日起，西安市将在全市设立58个供应点，以低于市场价格投放政府储备菜，保障市场供应，平抑蔬菜价格。 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '看今天微博Android', 'favorate_count': 0, 'forward_count': '1', 'comment_count': 0, 'like_count': '3'}
{'nickname': 'HH曲终人散i', 'txt': '\n#你们村为了防控疫情有多拼#吓人 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'Android客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '拾九的tian', 'txt': '\n                    //@迪迪卫控评小管家:\ue627迪丽热巴 #迪丽热巴白凤九# 出门记得戴口罩，勤洗手，注意室内通风，团结一心，一起战胜困难记得不用过度恐慌哦！一切都会好起来的！@Dear-迪丽热巴#万众一心打赢疫情防控阻击战# ', 'date': '01月28日20:20', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '13428', 'comment_count': '3980', 'like_count': '39515'}
{'nickname': '用户7266388601', 'txt': '\n#抗击疫情联合行动#涓滴之水成海洋， 我在“抗击疫情 我们在行动”项目捐款成功！携手@Mr_LX80后姐姐团，凝聚颗颗爱心点燃更多希望。@中华慈善总会 抗击疫情 我们在行动 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微公益', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '张至诚-', 'txt': '\n                    转发微博                ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': 'S-autumnting', 'txt': '\n#抗击疫情联合行动#涓滴之水成海洋， 我在“抗击疫情 我们在行动”项目捐款成功！携手@Mr_LX80后姐姐团，凝聚颗颗爱心点燃更多希望。@中华慈善总会 抗击疫情 我们在行动 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微公益', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '格局范', 'txt': '\n                    唐仁健在省新型冠状病毒感染的肺炎疫情联防联控领导小组专责组工作调度会上强调 坚决做到守土有责守土尽责 把疫情防控抓紧抓细抓到位 O网页链接 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '内置浏览器', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '玻璃晴朗橘子辉煌11', 'txt': '\n                    『唐仁健在省新型冠状病毒感染的肺炎疫情联防联控领导小组专责组工作调度会上强调 坚决做到守土有责守土尽责 把疫情防控抓紧抓细抓到位』O网页链接 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'OnePlus 6', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '一只叫南瓜的喵', 'txt': '\n                    天天提心吊胆的，希望疫情好转！                ', 'date': '01月28日22:55', 'device': '微博云剪', 'favorate_count': 0, 'forward_count': '2345', 'comment_count': '1808', 'like_count': '29488'}
{'nickname': '镇平声音', 'txt': '\n#抗击疫情我们在一起# 南阳医生这个举动，令人肃然起敬！O【防疫关键时期】南阳医生这个举动，令人肃然起敬！ \u200b                ', 'date': '\n01月28日22:59\n', 'device': '专业版微博', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '等待重生0419', 'txt': '\n                    人民网评：疫情之下，市场和“市长”都要发力 O网页链接 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '_奎葵酱', 'txt': '\n//@蔡徐坤网宣组:\ue627蔡徐坤|#万众一心打赢疫情防控阻击战# 致敬所有医护人员，致敬所有为打赢疫情防控阻击战而努力的工作人员，我们一起加油！中国加油@蔡徐坤 ', 'date': '01月28日21:50', 'device': '蔡徐坤超话', 'favorate_count': 0, 'forward_count': '2745', 'comment_count': '840', 'like_count': '6421'}
{'nickname': '西米露shmilu', 'txt': '\n                    万众一心，众志成城 ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '小壶煮酒', 'txt': '\n                    转发微博                ', 'date': '01月28日21:56', 'device': '\n                        01月28日 22:59\n                        ', 'favorate_count': 0, 'forward_count': '467', 'comment_count': '60', 'like_count': '460'}
{'nickname': 'kafei98625', 'txt': '\n//@谷子姐姐:一起加油！一定能成功战胜疫情！加油！@秦俊杰 [米奇比心]                ', 'date': '01月27日13:24', 'device': '绿洲APP', 'favorate_count': 0, 'forward_count': '61408', 'comment_count': '31181', 'like_count': '70006'}
{'nickname': '洋俊风和气', 'txt': '\n                    真的很希望疫情早点过去。                ', 'date': '01月28日22:07', 'device': 'HUAWEI Mate30 Pro 5G', 'favorate_count': 0, 'forward_count': '10677', 'comment_count': '4737', 'like_count': '17239'}
{'nickname': '洋俊风和气', 'txt': '\n                    真的很希望疫情早点过去。                ', 'date': '01月28日22:07', 'device': 'HUAWEI Mate30 Pro 5G', 'favorate_count': 0, 'forward_count': '10677', 'comment_count': '4737', 'like_count': '17239'}
{'nickname': '洋俊风和气', 'txt': '\n                    真的很希望疫情早点过去。                ', 'date': '01月28日22:07', 'device': 'HUAWEI Mate30 Pro 5G', 'favorate_count': 0, 'forward_count': '10677', 'comment_count': '4737', 'like_count': '17239'}
{'nickname': '洋俊风和气', 'txt': '\n                    真的很希望疫情早点过去。                ', 'date': '01月28日22:07', 'device': 'HUAWEI Mate30 Pro 5G', 'favorate_count': 0, 'forward_count': '10677', 'comment_count': '4737', 'like_count': '17239'}

---------------------------------第3页------------------------------

------------------------------该页有23条微博-----------------------------
{'nickname': '糊糊577', 'txt': '\n                    这小伙真是太幽默了//@文化路105号的老华://@Kevin在纽约:转发微博                ', 'date': '01月28日19:51', 'device': 'iPhone 7 Plus', 'favorate_count': 0, 'forward_count': '2016', 'comment_count': '456', 'like_count': '4132'}
{'nickname': '道教之音', 'txt': '\n#武汉加油# 2020年1月28日上午，松江区道教协会副会长许勇道长，秘书长徐洪政道长受区道协会长颜春喜道长委托，来到上海市慈善基金会松江分会，代表区道协捐款人民币10万元专项用于新型冠状病毒感染肺炎疫情的防控工作。O网页链接 O上海市松江区道教协会捐款10万元用于新型冠状病毒感染肺炎疫情防控工 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '2', 'comment_count': '1', 'like_count': '29'}
{'nickname': '清晨夢境·', 'txt': '\n                    哈 笑死了 一场疫情 反而让我发现 有些人是真的很善良，有些人是真的冷血。 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'iPhone XS', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': 'Noah_晓真真', 'txt': '\n                    //@九三JD:疫情结束后沙雕科可能迎来患者高峰期//@野比大雄:哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@咸鱼不需要情缘:?//@我宇太阳肩并肩:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@霸道总裁老干妈:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈                ', 'date': '01月28日14:18', 'device': '\n                        01月28日 22:59\n                        ', 'favorate_count': 0, 'forward_count': '5271', 'comment_count': '1135', 'like_count': '5764'}
{'nickname': '王一菲粉丝后援会', 'txt': '\n                    抗击疫情 我们一起行动！O网页链接 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '王一菲超话', 'favorate_count': 0, 'forward_count': '1', 'comment_count': '4', 'like_count': '8'}
{'nickname': '庄小蝇', 'txt': '\n                    武汉能过关 武汉本来就是一个很英雄的城市 所有中国人都在一切平安顺遂                ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '三十真的超可爱', 'txt': '\n#林俊杰 Stay With You#希望疫情快点好起来呢三月份还想去见神仙爱豆 还想和神仙爱豆一起过生日 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'purple iPhone 11', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '2'}
{'nickname': '小龙爱吃小笼', 'txt': '\n                    春节上海本身人少再加上这次疫情 然后路上更没车了 2上海·南翔镇 L小龙爱吃小笼的微博视频 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'iPhone', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Tkakaoy', 'txt': '\n                    太衰了今年2020年计划乱了本来是年后直接去辞职，然后带朋友出去浪，回来把没有写完的东西写完，去蹭一波奥运年，看一场花火大会现在工作还不能轻易辞职，等疫情慢些，再做一些规划 2宝鸡·扶风县 \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'Android客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '5', 'like_count': '3'}
{'nickname': '心如昕愿', 'txt': '\n\ue627吴昕 和@吴昕 一起保护自己，保护身边人，控制疫情你我共同参与！我们都是抗击疫情的战士！ ', 'date': '01月28日18:28', 'device': 'HUAWEI Mate 20 Pro', 'favorate_count': 0, 'forward_count': '6213', 'comment_count': '1564', 'like_count': '143254'}
{'nickname': '过了专四才追星', 'txt': '\n\ue627林俊杰林俊杰！不愧是你！悄悄为疫情写歌 混音编曲剪视频都亲力亲为闷声干大事 您向来如此每次有灾难 总是有你的音乐陪我们慢慢耗 慢慢等来希望和光亮在这样艰难的 人心惶惶的时刻 这首歌真的是一剂强心针 是慰藉心灵的存在突然好骄傲啊 这是我喜欢的歌手谢谢你 一直在@林俊杰 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '林俊杰超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '冻柠茶97', 'txt': '\n                    哈哈哈哈哈哈崔娃//@亲爱的彭禹:哈哈哈//@王小山:笑笑挺好。//@Kevin在纽约:转发微博                ', 'date': '01月28日19:51', 'device': 'iPhone 7 Plus', 'favorate_count': 0, 'forward_count': '2016', 'comment_count': '456', 'like_count': '4132'}
{'nickname': '收集一切搞笑', 'txt': '\n                    783ihjdyu 【世卫组织：#新型冠状病毒疫情对全球构成高风险#】世卫组织在26日、27日的新型冠状病毒报告中，将新型冠状病毒疫情全球范围风险改为高风险。世卫组织表示，此前发布的报告中，错误地将新型冠状病毒疫情对全球风险总结为中等，其实为高风险。新型冠状病毒疫情对中国造成非常高风险，对区域造 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'axu_right', 'txt': '\n                    转发                ', 'date': '01月28日22:00', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '886', 'comment_count': '365', 'like_count': '4057'}
{'nickname': '长安号官微', 'txt': '\n#联防联控 西安在行动# 【🎙️明起西安地铁实行乘客实名登记 运营服务时间适当调整】为积极做好疫情防控工作，严控病毒传播，自明天（1月29日）起，市民乘客在乘坐地铁时，必须出示身份证明有效证件（身份证/驾驶证/护照），进行实名登记，否则工作人员将予以阻止劝离。同时，西安地铁将调整线网运营 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '_阿林啊', 'txt': '\n                    如果这次疫情，放过了人类，那么请人类，今后放过野生动物！如果这次疫情，被医护人员击败，那么请社会，今后善待医护人员！因为危难时，是他们用自己的命守护着你们的命！ \u200b                ', 'date': '\n01月28日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': '3'}
{'nickname': 'TINRA1112', 'txt': '\n#抗击疫情联合行动#与爱同路，让爱回家。我在“抗击疫情 我们在行动”项目捐款成功！愿我和@Mr_LX80后姐姐团 一起放大爱的力量！@中华慈善总会 抗击疫情 我们在行动 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微公益', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '3'}
{'nickname': '深海蓝baby', 'txt': '\n                    转发微博                ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '用户7333300786', 'txt': '\n#抗击疫情联合行动#小善意，大温暖。我在“抗击疫情 我们在行动”项目捐款成功！和@Mr_LX80后姐姐团 一起用善举温暖更多心灵！@中华慈善总会 抗击疫情 我们在行动 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微公益', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '4'}
{'nickname': 'Pearljack_Kwok', 'txt': '\n\ue627潮阳【#广东延迟开学和复工#】刚刚，广东省人民政府下发《关于企业复工和学校开学时间的通知》，要求中小学、幼儿园2月17日前不开学，大专院校、中职学校、技工院校2月24日前不开学。各地级以上市教育部门、人力资源社会保障部门和大专院校、中职学校、技工院校根据疫情形势和防控情况，科学研 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '潮阳超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Pearljack_Kwok', 'txt': '\n\ue627潮阳【#广东延迟开学和复工#】刚刚，广东省人民政府下发《关于企业复工和学校开学时间的通知》，要求中小学、幼儿园2月17日前不开学，大专院校、中职学校、技工院校2月24日前不开学。各地级以上市教育部门、人力资源社会保障部门和大专院校、中职学校、技工院校根据疫情形势和防控情况，科学研 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '潮阳超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Pearljack_Kwok', 'txt': '\n\ue627潮阳【#广东延迟开学和复工#】刚刚，广东省人民政府下发《关于企业复工和学校开学时间的通知》，要求中小学、幼儿园2月17日前不开学，大专院校、中职学校、技工院校2月24日前不开学。各地级以上市教育部门、人力资源社会保障部门和大专院校、中职学校、技工院校根据疫情形势和防控情况，科学研 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '潮阳超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Pearljack_Kwok', 'txt': '\n\ue627潮阳【#广东延迟开学和复工#】刚刚，广东省人民政府下发《关于企业复工和学校开学时间的通知》，要求中小学、幼儿园2月17日前不开学，大专院校、中职学校、技工院校2月24日前不开学。各地级以上市教育部门、人力资源社会保障部门和大专院校、中职学校、技工院校根据疫情形势和防控情况，科学研 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '潮阳超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}

---------------------------------第4页------------------------------

------------------------------该页有23条微博-----------------------------
{'nickname': 'ssssssllhh', 'txt': '\n#抗击疫情联合行动# 小善意，大温暖。我在“抗击疫情 我们在行动”项目捐款成功！愿点滴之举温暖更多心灵。@中华慈善总会http://t.cn/A6PIPh89 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '微公益', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '4'}
{'nickname': '暑期三下乡之走进宿州传承民艺', 'txt': '\n                    转发微博                ', 'date': '01月28日22:46', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '517', 'comment_count': '214', 'like_count': '1982'}
{'nickname': 'L小白嗻', 'txt': '\n                    //@Dear迪丽热巴后援会:#迪丽热巴三生三世枕上书# \ue627迪丽热巴 重视疫情，但不过度恐慌，我们一起加油！#万众一心打赢疫情防控阻击战# ，非赢不可！ ', 'date': '01月28日20:20', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '13428', 'comment_count': '3980', 'like_count': '39515'}
{'nickname': '青虫2002', 'txt': '\n                    转发微博                ', 'date': '01月28日22:49', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': '125', 'comment_count': '22', 'like_count': '440'}
{'nickname': '青虫2002', 'txt': '\n                    转发微博                ', 'date': '01月28日22:49', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': '125', 'comment_count': '22', 'like_count': '440'}
{'nickname': '恩施新闻网', 'txt': '\n#湖北加油 恩施挺住#【州委书记柯俊、州长刘芳震致全州疫情防控一线工作者的一封信】值此新春佳节、万家团圆之际，你们依然坚守岗位、忠于职守、忘我工作、无私奉献，奋战在全州新型冠状病毒感染的肺炎疫情防控第一线，你们辛苦了！我们谨代表中共恩施州委、恩施州人民政府，代表全州405万各族人民，向 \u200b  展开全文c ', 'date': '\n01月28日22:59\n', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '7'}
{'nickname': '天女来过', 'txt': '\n                    转发微博                ', 'date': '01月28日21:53', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': '2', 'comment_count': '0', 'like_count': '1'}
{'nickname': '春野小小雨', 'txt': '\n                    //@桑格格桑格格:“武汉是个很英雄的城市” ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '春野小小雨', 'txt': '\n                    //@桑格格桑格格:“武汉是个很英雄的城市” ', 'date': '01月28日21:59', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '16085', 'comment_count': '4266', 'like_count': '84335'}
{'nickname': '温柔的彼得大帝', 'txt': '\n                    中共中央印发《关于加强党的领导、为打赢疫情防控阻击战提供坚强政治保证的通知》 O中共中央印发《关于加强党的领导、为打赢疫情防控阻击战提供坚强政治保证的通知》 \u200b                ', 'date': '\n01月28日22:59\n', 'device': '学习强国客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
